month,year,CHIRPS,ERA5,PERSIANN,Rainfall
7,1997,1112.015095,407.8707993,612.8253584,657
8,1997,482.4544086,210.9140903,300.1451492,481
9,1997,476.9336777,375.1829267,443.2559938,443
10,1997,84.43530607,24.23463576,81.0152055,134
11,1997,27.59035873,35.99989414,22.35932219,19
12,1997,15.53312469,17.26238802,26.65755922,15
1,1998,5.420994461,19.12882552,12.2882781,21
2,1998,11.32679951,36.17282957,0,79
3,1998,45.33087647,67.71754473,82.2947576,137
4,1998,198.7324979,294.8271036,197.9058462,157
5,1998,341.9346595,404.3694139,591.2418844,658
6,1998,598.8911834,203.2263279,357.0886675,294
7,1998,536.9869614,430.9072793,451.9328161,1065
8,1998,452.512989,300.0561595,290.6261869,493
9,1998,258.470171,294.827044,237.6254457,287
10,1998,129.3279967,122.3094463,116.5867766,102
11,1998,67.70877767,31.44308925,78.38781309,19
12,1998,12.13548815,0.431503169,0,0
1,1999,5.908142745,0.068068504,3.144683361,0
2,1999,6.754739821,0.002797693,4.7035653,0
3,1999,17.29948604,34.40430015,15.62929916,3
4,1999,23.43006694,16.88125357,19.89840114,0
5,1999,364.1867435,332.210362,339.5691071,379
6,1999,469.3584313,434.810698,494.5150236,1117
7,1999,737.9221554,262.7806962,493.9491087,590
8,1999,501.1444206,273.4866738,391.521891,474
9,1999,344.0933819,177.912429,293.2042522,201
10,1999,344.5002708,178.6581576,347.1873761,149
11,1999,20.54690766,9.380768985,0,3
12,1999,12.55116689,57.0175834,29.98383951,115
1,2000,5.226963162,7.678863592,11.0940361,41
2,2000,16.37567818,2.24151928,17.39030313,1
3,2000,37.53875923,28.30117755,105.7125921,112
4,2000,110.4953375,49.308341,167.727071,210
5,2000,396.7672634,532.3901772,572.3335508,698
6,2000,490.6058903,437.7547204,384.0655531,565
7,2000,520.5810623,373.0906248,289.0382556,207
8,2000,552.7961102,266.8964863,481.6907524,534
9,2000,389.3285522,181.148082,306.5438829,164
10,2000,282.6226633,166.7719483,388.5115085,357
11,2000,25.36203265,28.48774567,30.16853714,45
12,2000,11.87199426,0.304698013,0,0
1,2001,4.157043695,0.10138005,0,0
2,2001,32.09033489,12.07570173,34.83301973,8
3,2001,15.09746456,29.65398878,18.65381491,1
4,2001,35.88687873,21.94347978,53.70518798,34
5,2001,249.3375294,609.8700762,458.4345794,282
6,2001,780.8162537,573.1598139,690.2415646,569
7,2001,585.0194016,261.2784207,364.0779058,346
8,2001,550.6284351,195.8831251,335.7654635,332
9,2001,219.3809376,207.7308893,253.1776699,212
10,2001,399.6721339,126.1516213,273.4237479,181
11,2001,108.6593599,96.36300802,80.53054214,101
12,2001,8.096534371,0.719061121,1.419084042,0
1,2002,4.768492341,11.92786265,18.41483271,9
2,2002,5.92256704,0.016480684,0.63619411,0
3,2002,38.70169234,16.85376465,73.89334202,42
4,2002,74.20936251,27.39144117,89.53147769,66
5,2002,485.8151722,396.2860107,546.3023791,548
6,2002,346.4942513,283.2021415,237.1029195,262
