month,year,CHIRPS,ERA5,PERSIANN,Rainfall
6,2011,355.2055016,514.1394138,347.0490522,306
7,2011,316.7953243,384.5852017,315.4274608,389
8,2011,411.9839926,462.5218809,409.4648814,542
9,2011,298.5494441,415.3802693,337.944725,366
10,2011,10.23599613,35.89162976,13.12977028,6
11,2011,3.149563745,4.582258873,0,1
12,2011,3.705438972,1.936824061,1.152213812,0
1,2012,5.921874881,9.795822203,4.03943789,7
2,2012,6.488608479,1.180997118,6.589313388,2
3,2012,11.67206836,1.675252803,5.306382656,2
4,2012,149.0681663,156.482771,109.5552173,191
5,2012,222.9484921,216.2870765,142.3201261,212
6,2012,521.9373741,536.1864567,557.5042468,369
7,2012,507.2929306,398.2958496,545.7664031,445
8,2012,315.1794939,254.7998428,391.6132311,187
9,2012,400.0830581,365.7312393,420.867515,405
10,2012,146.7364321,119.4697395,182.2892412,57
11,2012,6.117200851,0.892183743,24.34832996,0
12,2012,3.683379114,2.111729234,1.045918703,0
1,2013,3.947738886,0.013774261,1.528857648,0
2,2013,11.72998434,11.92363724,15.06601626,14
3,2013,10.52148652,4.719506949,6.84153226,4
4,2013,113.5773766,147.7639973,83.96822652,115
5,2013,270.7500935,344.6988165,343.412153,383
6,2013,344.7733946,345.5371857,414.4513766,327
7,2013,233.8345914,196.300447,255.0686369,296
8,2013,361.0031395,362.6191616,338.7544295,268
9,2013,232.4117584,229.7020704,288.7582397,229
10,2013,232.7221924,121.358268,222.228367,280
11,2013,2.5594237,3.302052617,0.959821582,0
12,2013,4.37473315,1.673800871,0,0
1,2014,3.340308547,2.732453868,1.68144989,0
2,2014,14.93013513,26.62050538,21.70316434,26
3,2014,14.59101689,11.43225189,10.5464617,1
4,2014,28.11422181,32.23521262,33.90459299,15
5,2014,251.8382664,335.968256,257.9996052,214
6,2014,361.0777645,610.049963,346.8733564,255
7,2014,291.562767,288.3222103,350.0851597,110
8,2014,357.1126661,457.3393166,457.6206925,362
9,2014,591.0064793,345.9172547,453.055423,599
10,2014,56.46825314,51.95329338,43.77055973,53
11,2014,2.583422437,2.253830433,0,0
12,2014,4.325926483,3.035331145,2.026151143,0
1,2015,6.389403164,23.89780432,17.57261884,25
2,2015,11.52102119,28.33970264,24.9384982,24
3,2015,36.73217666,57.98861384,59.8885591,15
4,2015,163.5646744,243.6301112,142.3544466,123
5,2015,432.9495239,535.4005098,389.933015,298
6,2015,484.4822426,494.7206378,454.8452432,524
7,2015,298.4795547,426.9189239,319.060112,234
8,2015,684.2631073,516.9214606,615.4946021,687
9,2015,376.0077983,278.4434557,383.6358695,484
10,2015,22.06025755,64.9792701,8.698022336,3
11,2015,3.284164324,12.74078153,5.048921391,0
12,2015,6.419872284,9.444661438,0,0
1,2016,8.614506602,28.49167027,19.14124298,12
2,2016,6.293326169,4.237180576,24.44673395,0
3,2016,81.16292036,101.3411656,43.26213151,123
4,2016,24.42672515,72.01565802,30.79549012,49
5,2016,429.4578457,491.0048544,288.3396525,313
6,2016,458.0865927,282.0854187,463.7759339,390
7,2016,646.1833649,476.9389331,589.5530986,749
8,2016,237.1263943,196.5153366,250.3778248,118
9,2016,713.7508926,468.9035416,367.3106236,285
10,2016,122.5815406,154.1266888,95.66234851,120
11,2016,2.448915049,2.645439468,2.766238451,0
12,2016,6.156597912,5.696171895,3.075082958,6
1,2017,3.85373202,3.603519872,3.380507529,3
2,2017,5.381158143,2.052055672,0,0
3,2017,57.76034832,99.17081892,64.9439261,120
4,2017,165.8943453,306.2924743,190.2530328,172
5,2017,368.6970634,347.7699459,288.9665825,358
6,2017,337.1247482,344.1507518,22.09216316,97
7,2017,536.2408676,439.0039444,8.30624575,344
8,2017,513.3178406,527.8476477,628.8919017,547
9,2017,345.7568011,385.1781487,342.9183804,105
10,2017,308.8316929,236.384362,196.6008896,146
11,2017,3.048421979,2.162672579,5.926586509,0
12,2017,6.845355272,0.358594581,4.266573191,0
1,2018,3.591561735,1.989512704,0,0
2,2018,10.48839653,9.720823728,11.35612518,0
3,2018,41.57499123,49.66345057,35.10635778,13
4,2018,143.1501961,254.9661398,147.6596777,151
5,2018,309.5658398,365.9201562,294.2514678,365
6,2018,370.5014496,336.6165757,442.654236,347
7,2018,314.729481,309.6621037,325.9967854,169
8,2018,280.8115158,274.6387124,334.741053,213
9,2018,396.0152349,195.9467232,363.7223886,144
10,2018,70.63016641,92.16567874,33.68685532,33
11,2018,2.901702881,8.393513039,0,0
12,2018,9.49158299,12.78657373,12.53986478,7
1,2019,4.077371955,0.322396867,1.912564725,0
2,2019,17.46646523,78.46224308,31.58030164,28
3,2019,26.09249234,30.72022833,42.60569584,2
4,2019,167.4838166,160.6963873,147.4949406,141
5,2019,268.8259192,512.8641129,379.7275607,347
6,2019,493.694149,398.3306289,469.5097318,288
7,2019,974.9474888,580.4373026,678.8160611,594
8,2019,272.6068697,255.3896308,313.740524,223
9,2019,491.4795303,574.8814344,487.0891886,517
10,2019,88.0157125,160.7617438,143.0643044,149
11,2019,4.217902035,14.55089729,11.13140556,0
12,2019,5.741866291,4.298215732,4.771128565,0
