month,year,mean,ERA5,PERSIANN,Rainfall
11,2004,2.787875831,0.822159462,6.062444687,0
12,2004,1.897737935,0.36490988,8.02865696,0
1,2005,7.678147972,14.53677565,15.87282348,15
2,2005,5.738782883,1.557439566,6.904866934,0
3,2005,90.29424262,122.3805174,163.5497468,148
4,2005,62.12242293,77.30982453,84.20093477,43
5,2005,129.6399894,189.1374886,168.5188273,215
6,2005,256.5387039,158.9430273,294.8453518,102
7,2005,323.6287,432.2221875,468.729496,435
8,2005,296.3320713,256.4728558,322.5466162,194
9,2005,196.1150236,283.2142115,274.2833576,410
10,2005,256.7634974,326.8864751,401.9139352,420
11,2005,2.62161234,0.703895465,1.783262551,0
12,2005,2.021247059,11.07874699,2.621520162,0
1,2006,2.872427076,0.396098942,0.908894151,0
2,2006,4.099638045,0.590045005,1.933378696,0
3,2006,17.02526915,4.856001586,4.796666101,5
4,2006,84.76832438,49.38159883,87.09566307,19
5,2006,223.5164289,354.0192246,380.7397977,230
6,2006,175.590508,203.1609714,346.9768736,262
7,2006,358.3361511,389.8071349,363.9862759,522
8,2006,287.0600414,291.4671302,284.4368917,364
9,2006,309.4228239,224.4127542,494.0997469,579
10,2006,54.41188729,60.99352241,58.85446137,79
11,2006,8.068071574,4.722408019,11.4533949,1
12,2006,1.898609504,0.002363697,0,0
1,2007,3.215725452,0.361999497,0.84949863,0
2,2007,38.05199242,76.44149661,57.37859058,54
3,2007,19.62498283,11.18543372,25.56880367,14
4,2007,95.00819635,199.9436021,143.3643653,92
5,2007,101.3518867,87.67214417,99.96526825,119
6,2007,413.6111755,450.7843852,551.4922193,374
7,2007,707.4509182,511.8163228,733.9522243,591
8,2007,261.3626366,293.571353,274.3629754,160
9,2007,304.8676717,344.3901837,358.8827523,397
10,2007,217.9807092,256.3021183,335.2889346,197
11,2007,32.93934935,169.8534191,111.6943021,113
12,2007,1.734243289,0.020427629,0,0
1,2008,8.986028612,54.95705083,60.38899183,66
2,2008,8.846201539,29.62580696,24.86648369,36
3,2008,26.35372436,21.93245292,30.96922082,48
4,2008,67.63891959,18.33279431,63.03353804,36
5,2008,146.9294682,151.6588777,187.8965902,151
6,2008,344.7439499,340.502888,351.7298783,190
7,2008,407.537014,497.0429242,404.8424803,301
8,2008,253.8140001,317.4954653,354.0069757,202
9,2008,230.6854525,312.4825358,274.9229504,379
10,2008,170.880861,233.6958945,205.2256291,187
11,2008,8.71280542,0.013688579,6.801168621,0
12,2008,1.94516784,0.424100086,0.20162496,0
1,2009,2.872428238,3.097459674,0,1
2,2009,4.531942189,6.105143577,6.483657837,6
3,2009,73.66697907,36.77838668,48.54583615,10
4,2009,22.33468556,16.23187214,10.76329416,23
5,2009,287.8263288,196.7060864,344.4936319,130
6,2009,178.7108979,168.0942029,182.931847,233
7,2009,431.7934437,276.0307491,521.2914569,347
8,2009,392.8995209,470.967412,462.8587168,568
9,2009,240.0884466,247.532934,292.2885808,357
10,2009,105.8241807,105.7137176,159.8618891,111
11,2009,21.90452167,14.1411256,31.75506604,20
12,2009,1.958200604,0.110359862,0.220345169,0
1,2010,2.872426927,0.968882814,0.725829631,0
2,2010,16.39255983,7.408553734,17.57388347,2
3,2010,20.44908679,16.25510119,13.95012784,14
4,2010,49.15845394,57.40740895,119.3841327,21
5,2010,223.0676136,184.0391457,239.9606963,146
6,2010,328.0222397,336.9296789,381.5083473,287
7,2010,241.5398502,237.1265739,250.793273,180
8,2010,229.6411381,176.880151,241.8164734,205
9,2010,159.9618263,257.7049136,223.7852937,157
